iter	Passed	Remaining
145	888	5198
146	893	5182
147	897	5164
148	902	5154
149	905	5128
150	908	5106
151	912	5090
152	915	5070
153	918	5044
154	920	5017
155	924	5000
156	928	4983
157	932	4967
158	934	4944
159	937	4920
160	942	4911
161	945	4892
162	948	4872
163	951	4850
164	953	4826
165	956	4804
166	958	4781
167	960	4759
168	963	4737
169	965	4714
170	967	4691
171	970	4671
172	973	4651
173	975	4628
174	977	4608
175	980	4589
176	982	4569
177	985	4550
178	987	4530
179	990	4510
180	991	4488
181	994	4468
182	996	4446
183	997	4425
184	999	4404
185	1001	4383
186	1003	4364
187	1007	4350
188	1009	4332
189	1011	4314
190	1014	4295
191	1016	4277
192	1018	4257
193	1020	4238
194	1023	4223
195	1025	4206
196	1027	4189
197	1029	4171
198	1031	4153
199	1034	4136
200	1036	4119
201	1038	4103
202	1040	4084
203	1042	4067
204	1044	4051
205	1046	4035
206	1048	4018
207	1050	4001
208	1052	3985
209	1054	3968
210	1056	3951
211	1058	3935
212	1060	3918
213	1062	3902
214	1064	3886
215	1066	3871
216	1068	3856
217	1070	3841
218	1072	3826
219	1075	3812
220	1077	3796
221	1078	3780
222	1080	3764
223	1082	3750
224	1084	3735
225	1086	3721
226	1088	3707
227	1090	3693
228	1092	3679
229	1094	3664
230	1096	3650
231	1098	3637
232	1100	3624
233	1102	3610
234	1104	3596
235	1106	3581
236	1109	3570
237	1110	3556
238	1112	3543
239	1114	3529
240	1116	3515
241	1118	3502
242	1120	3489
243	1122	3476
244	1123	3463
245	1125	3451
246	1127	3438
247	1129	3425
248	1131	3413
249	1133	3400
250	1135	3388
251	1137	3376
252	1139	3364
253	1141	3352
254	1143	3341
255	1146	3330
256	1147	3318
257	1149	3307
258	1152	3295
259	1154	3284
260	1155	3272
261	1157	3260
262	1159	3249
263	1161	3238
264	1163	3227
265	1165	3216
266	1167	3205
267	1169	3195
268	1171	3183
269	1173	3172
270	1175	3162
271	1177	3151
272	1179	3141
273	1181	3129
274	1183	3119
275	1185	3110
276	1187	3099
277	1189	3088
278	1191	3078
279	1192	3067
280	1195	3058
281	1197	3047
282	1198	3037
283	1200	3027
284	1203	3018
285	1205	3008
286	1206	2998
287	1208	2987
288	1210	2978
289	1212	2968
290	1214	2959
291	1216	2949
292	1218	2940
293	1220	2930
294	1222	2921
295	1224	2913
296	1226	2903
297	1228	2893
298	1230	2884
299	1232	2875
300	1234	2866
301	1236	2857
302	1238	2849
303	1240	2840
304	1242	2831
305	1244	2822
306	1246	2814
307	1248	2805
308	1250	2797
309	1252	2788
310	1254	2780
311	1256	2771
312	1258	2762
313	1260	2753
314	1262	2745
315	1264	2737
316	1266	2728
317	1268	2720
318	1270	2711
319	1272	2703
320	1274	2696
321	1277	2689
322	1279	2680
323	1281	2672
324	1282	2664
325	1285	2658
326	1287	2650
327	1290	2643
328	1292	2635
329	1294	2627
330	1296	2620
331	1298	2612
332	1300	2605
333	1302	2598
334	1304	2590
335	1307	2583
336	1309	2576
337	1311	2569
338	1314	2562
339	1315	2554
340	1318	2547
341	1320	2540
342	1322	2532
343	1324	2526
344	1326	2519
345	1328	2511
346	1330	2503
347	1332	2496
348	1334	2490
349	1336	2482
350	1339	2476
351	1341	2469
352	1344	2463
353	1346	2456
354	1348	2449
355	1350	2442
356	1352	2436
357	1356	2431
358	1358	2425
359	1360	2418
360	1362	2411
361	1364	2404
362	1367	2398
363	1368	2391
364	1370	2384
365	1372	2377
366	1374	2371
367	1376	2364
368	1378	2357
369	1381	2351
370	1383	2345
371	1385	2338
372	1386	2331
373	1389	2325
374	1391	2318
375	1393	2311
376	1395	2305
377	1396	2298
378	1399	2292
379	1400	2285
380	1402	2278
381	1404	2272
382	1406	2266
383	1409	2260
384	1411	2254
385	1413	2248
386	1415	2242
387	1417	2235
388	1419	2229
389	1421	2223
390	1423	2216
391	1425	2210
392	1427	2204
393	1429	2198
394	1432	2193
395	1434	2188
396	1437	2182
397	1438	2176
398	1440	2169
399	1443	2164
400	1445	2159
401	1447	2153
402	1449	2147
403	1451	2141
404	1453	2135
405	1455	2129
406	1457	2123
407	1458	2116
408	1460	2110
409	1462	2104
410	1464	2099
411	1466	2093
412	1468	2087
413	1470	2081
414	1472	2076
415	1474	2070
416	1476	2064
417	1479	2059
418	1481	2053
419	1483	2048
420	1484	2042
421	1486	2036
422	1488	2030
423	1490	2025
424	1492	2019
425	1495	2014
426	1496	2008
427	1499	2003
428	1501	1998
429	1503	1992
430	1505	1987
431	1507	1982
432	1509	1976
433	1511	1970
434	1512	1965
435	1515	1959
436	1517	1954
437	1519	1949
438	1521	1944
439	1523	1938
440	1525	1933
441	1527	1928
442	1529	1923
443	1532	1918
444	1533	1912
445	1535	1907
446	1538	1903
447	1540	1897
448	1542	1893
449	1544	1887
450	1547	1883
451	1549	1878
452	1551	1873
453	1553	1868
454	1555	1862
455	1557	1858
456	1559	1853
457	1561	1847
458	1563	1843
459	1565	1838
460	1568	1833
461	1570	1828
462	1572	1823
463	1574	1818
464	1576	1814
465	1578	1808
466	1580	1804
467	1583	1799
468	1585	1795
469	1587	1789
470	1589	1785
471	1592	1781
472	1594	1776
473	1597	1772
474	1599	1767
475	1602	1764
476	1604	1759
477	1606	1754
478	1608	1749
479	1610	1745
480	1612	1739
481	1614	1735
482	1616	1730
483	1619	1726
484	1621	1721
485	1623	1716
486	1625	1712
487	1627	1707
488	1629	1702
489	1631	1698
490	1634	1694
491	1636	1690
492	1638	1685
493	1640	1679
494	1642	1675
495	1644	1671
496	1646	1666
497	1648	1662
498	1652	1658
499	1655	1655
500	1658	1651
501	1661	1647
502	1663	1643
503	1665	1639
504	1669	1636
505	1672	1632
506	1674	1628
507	1676	1623
508	1678	1619
509	1680	1614
510	1682	1610
511	1684	1605
512	1687	1602
513	1690	1598
514	1692	1593
515	1694	1589
516	1696	1584
517	1698	1580
518	1701	1577
519	1703	1572
520	1705	1568
521	1708	1564
522	1711	1560
523	1713	1556
524	1715	1552
525	1719	1549
526	1721	1544
527	1723	1540
528	1725	1536
529	1727	1532
530	1729	1527
531	1732	1524
532	1734	1519
533	1736	1515
534	1738	1510
535	1740	1506
536	1742	1502
537	1744	1498
538	1746	1493
539	1749	1490
540	1751	1486
541	1754	1482
542	1756	1478
543	1758	1473
544	1760	1469
545	1762	1465
546	1764	1461
547	1767	1457
548	1769	1453
549	1771	1449
550	1773	1445
551	1775	1441
552	1777	1436
553	1779	1432
554	1782	1428
555	1784	1425
556	1786	1421
557	1789	1417
558	1791	1412
559	1793	1409
560	1795	1404
561	1797	1401
562	1800	1397
563	1802	1393
564	1804	1389
565	1806	1385
566	1808	1381
567	1810	1377
568	1812	1373
569	1815	1369
570	1817	1365
571	1820	1362
572	1822	1357
573	1824	1353
574	1826	1349
575	1828	1345
576	1831	1342
577	1833	1338
578	1836	1335
579	1838	1331
580	1840	1327
581	1843	1323
582	1845	1319
583	1847	1316
584	1850	1312
585	1852	1308
586	1854	1304
587	1856	1301
588	1858	1296
589	1860	1292
590	1863	1289
591	1865	1285
592	1867	1281
593	1869	1277
594	1871	1273
595	1873	1269
596	1876	1266
597	1878	1262
598	1880	1258
599	1882	1254
600	1883	1250
601	1885	1246
602	1887	1242
603	1889	1238
604	1891	1234
605	1893	1231
606	1895	1227
607	1897	1223
608	1899	1219
609	1901	1215
610	1902	1211
611	1904	1207
612	1906	1203
613	1909	1200
614	1910	1196
615	1913	1192
616	1914	1188
617	1916	1184
618	1918	1181
619	1920	1177
620	1922	1173
621	1924	1169
622	1926	1165
623	1928	1161
624	1930	1158
625	1932	1154
626	1934	1150
627	1936	1147
628	1938	1143
629	1940	1139
630	1942	1136
631	1945	1132
632	1947	1129
633	1949	1125
634	1952	1122
635	1954	1118
636	1956	1115
637	1958	1111
638	1960	1107
639	1962	1103
640	1964	1100
641	1968	1097
642	1971	1094
643	1973	1091
644	1977	1088
645	1980	1085
646	1982	1081
647	1986	1078
648	1989	1075
649	1992	1072
650	1995	1069
651	1999	1067
652	2002	1063
653	2004	1060
654	2006	1056
655	2009	1053
656	2011	1050
657	2013	1046
658	2015	1042
659	2017	1039
660	2019	1035
661	2022	1032
662	2024	1028
663	2026	1025
664	2028	1021
665	2031	1018
666	2033	1015
667	2036	1012
668	2038	1008
669	2040	1004
670	2042	1001
671	2044	998
672	2046	994
673	2048	990
674	2051	987
675	2054	984
676	2056	981
677	2064	980
678	2067	977
679	2070	974
680	2072	970
681	2074	967
682	2077	964
683	2079	960
684	2081	957
685	2084	954
686	2087	950
687	2089	947
688	2093	944
689	2095	941
690	2098	938
691	2101	935
692	2103	932
693	2106	928
694	2109	925
695	2114	923
696	2116	920
697	2119	917
698	2121	913
699	2124	910
700	2125	906
701	2128	903
702	2130	899
703	2132	896
704	2135	893
705	2138	890
706	2140	887
707	2142	883
708	2144	880
709	2146	876
710	2149	873
711	2152	870
712	2154	867
713	2156	863
714	2158	860
715	2161	857
716	2163	853
717	2165	850
718	2167	847
719	2169	843
720	2171	840
721	2173	836
722	2174	833
723	2177	829
724	2179	826
725	2181	823
726	2184	820
727	2186	816
728	2188	813
729	2190	810
730	2192	806
731	2194	803
732	2196	800
733	2198	796
734	2200	793
735	2202	789
736	2204	786
737	2206	783
738	2208	779
739	2210	776
740	2212	773
741	2214	770
742	2217	766
743	2219	763
744	2221	760
745	2223	756
746	2225	753
747	2227	750
748	2229	747
749	2231	743
750	2233	740
751	2235	737
752	2237	733
753	2240	730
754	2242	727
755	2244	724
756	2247	721
757	2249	718
758	2251	714
759	2252	711
760	2254	708
761	2256	704
762	2258	701
763	2260	698
764	2263	695
765	2266	692
766	2267	688
767	2269	685
768	2271	682
769	2273	679
770	2275	675
771	2278	672
772	2281	670
773	2283	666
774	2285	663
775	2288	660
776	2290	657
777	2292	654
778	2294	650
779	2297	648
780	2300	644
781	2302	641
782	2304	638
783	2306	635
784	2308	632
785	2310	629
786	2312	625
787	2315	622
788	2317	619
789	2319	616
790	2321	613
791	2323	610
792	2325	607
793	2327	603
794	2330	600
795	2332	597
796	2333	594
797	2335	591
798	2338	588
799	2340	585
800	2342	581
801	2344	578
802	2346	575
803	2348	572
804	2350	569
805	2352	566
806	2355	563
807	2357	560
808	2359	556
809	2360	553
810	2363	550
811	2365	547
812	2367	544
813	2368	541
814	2370	538
815	2373	535
816	2375	532
817	2377	528
818	2380	526
819	2381	522
820	2384	519
821	2386	516
822	2388	513
823	2390	510
824	2392	507
825	2394	504
826	2396	501
827	2398	498
828	2400	495
829	2402	492
830	2405	489
831	2407	486
832	2409	483
833	2411	479
834	2414	477
835	2416	473
836	2418	470
837	2420	467
838	2422	464
839	2424	461
840	2426	458
841	2428	455
842	2430	452
843	2432	449
844	2434	446
845	2437	443
846	2439	440
847	2441	437
848	2444	434
849	2446	431
850	2448	428
851	2450	425
852	2453	422
853	2455	419
854	2457	416
855	2459	413
856	2461	410
857	2463	407
858	2465	404
859	2467	401
860	2469	398
861	2471	395
862	2474	392
863	2476	389
864	2478	386
865	2480	383
866	2482	380
867	2484	377
868	2486	374
869	2489	371
870	2490	368
871	2492	365
872	2494	362
873	2497	359
874	2498	356
875	2500	354
876	2502	351
877	2504	348
878	2506	345
879	2509	342
880	2511	339
881	2512	336
882	2515	333
883	2517	330
884	2519	327
885	2521	324
886	2523	321
887	2525	318
888	2527	315
889	2529	312
890	2531	309
891	2534	306
892	2537	304
893	2540	301
894	2541	298
895	2543	295
896	2546	292
897	2548	289
898	2550	286
899	2551	283
900	2553	280
901	2556	277
902	2558	274
903	2560	271
904	2562	268
905	2564	266
906	2566	263
907	2568	260
908	2570	257
909	2573	254
910	2575	251
911	2577	248
912	2579	245
913	2581	242
914	2583	240
915	2585	237
916	2589	234
917	2591	231
918	2594	228
919	2596	225
920	2598	222
921	2600	220
922	2602	217
923	2605	214
924	2607	211
925	2609	208
926	2612	205
927	2614	202
928	2617	200
929	2620	197
930	2623	194
931	2625	191
932	2627	188
933	2630	185
934	2632	183
935	2635	180
936	2638	177
937	2651	175
938	2656	172
939	2658	169
940	2660	166
941	2662	163
942	2664	161
943	2667	158
944	2668	155
945	2671	152
946	2673	149
947	2676	146
948	2677	143
949	2680	141
950	2682	138
951	2684	135
952	2687	132
953	2689	129
954	2691	126
955	2693	123
956	2695	121
957	2697	118
958	2699	115
959	2702	112
960	2704	109
961	2706	106
962	2708	104
963	2710	101
964	2713	98
965	2715	95
966	2717	92
967	2719	89
968	2722	87
969	2724	84
970	2726	81
971	2728	78
972	2730	75
973	2732	72
974	2735	70
975	2737	67
976	2740	64
977	2742	61
978	2744	58
979	2746	56
980	2748	53
981	2750	50
982	2752	47
983	2754	44
984	2756	41
985	2759	39
986	2761	36
987	2763	33
988	2765	30
989	2767	27
990	2769	25
991	2770	22
992	2772	19
993	2773	16
994	2775	13
995	2777	11
996	2778	8
997	2780	5
998	2781	2
999	2783	0
832	8
997	2835	5
998	2837	2
999	2839	0
42	236
974	8846	226
975	8851	217
976	8854	208
977	8857	199
978	8861	190
979	8864	180
980	8867	171
981	8871	162
982	8876	153
983	8880	144
984	8885	135
985	8892	126
986	8901	117
987	8907	108
988	8917	99
989	8924	90
990	8930	81
991	8936	72
992	8943	63
993	8955	54
994	8959	45
995	8966	36
996	8971	26
997	8977	17
998	8986	8
999	8991	0
696	17
998	8700	8
999	8704	0
