iter	Logloss
0	0.6844471077
1	0.6734746852
2	0.661898255
3	0.6512011757
4	0.6426626502
5	0.6338779495
6	0.6238922883
7	0.6162839884
8	0.6078256666
9	0.5983263889
10	0.5891377596
11	0.5810957058
12	0.5738538337
13	0.5659921642
14	0.5554566256
15	0.5470757398
16	0.5395597975
17	0.5311215576
18	0.5225222552
19	0.5158746268
20	0.5087399377
21	0.5001442233
22	0.4944571378
23	0.488864903
24	0.4825655185
25	0.4766323238
26	0.469921379
27	0.4621817454
28	0.4569999024
29	0.4500664364
30	0.4448617765
31	0.4383560483
32	0.4320057474
33	0.4263292023
34	0.4213037185
35	0.415631512
36	0.4101674143
37	0.4047913465
38	0.40022393
39	0.3956905956
40	0.3920863245
41	0.3869553641
42	0.3818728777
43	0.3773528581
44	0.3727337719
45	0.3679001149
46	0.3626403583
47	0.3586043361
48	0.3538513443
49	0.3501462225
50	0.3457149199
51	0.342250268
52	0.3388548612
53	0.3348846285
54	0.3304554978
55	0.326164824
56	0.3227297028
57	0.3195519975
58	0.315290719
59	0.3115033374
60	0.3078072085
61	0.3043851814
62	0.3006435614
63	0.2968014828
64	0.2934449036
65	0.2905238151
66	0.287860338
67	0.2848614524
68	0.2816132776
69	0.278944613
70	0.2757430898
71	0.2732152655
72	0.2700222464
73	0.2670064542
74	0.2643806387
75	0.2618096773
76	0.2595004389
77	0.2564082368
78	0.25436707
79	0.2515821249
80	0.2490869485
81	0.2466460702
82	0.2443689433
83	0.2422011493
84	0.2400477876
85	0.2376743325
86	0.2351520556
87	0.2329877159
88	0.2309677582
89	0.2284934636
90	0.2265237061
91	0.2237992821
92	0.2215831959
93	0.2192995736
94	0.2177503299
95	0.2156606869
96	0.2137146685
97	0.211805925
98	0.2094856577
99	0.2079701121
100	0.2063382558
101	0.2049551122
102	0.2031711882
103	0.2012871796
104	0.2000733859
105	0.1984690534
106	0.1968306706
107	0.1950671139
108	0.1935736399
109	0.1917878602
110	0.1904613842
111	0.1889582668
112	0.1870872221
113	0.185394825
114	0.1836995873
115	0.1822249405
116	0.1805148063
117	0.1790568569
118	0.1775476204
119	0.1761048834
120	0.1746771375
121	0.1732149975
122	0.1720598981
123	0.1705655307
124	0.169128215
125	0.1680918703
126	0.1667201509
127	0.1655786545
128	0.1641630977
129	0.1627562939
130	0.1614303628
131	0.1604849133
132	0.1592019231
133	0.1579636666
134	0.1569788301
135	0.1556609665
136	0.1541598432
137	0.153167987
138	0.1521673945
139	0.150952082
140	0.1497238657
141	0.1483785137
142	0.1470734199
143	0.1458454846
144	0.1448650683
145	0.1436549293
146	0.1426936632
147	0.1413801305
148	0.1402059503
149	0.1393196088
150	0.1386269841
151	0.1376954315
152	0.1367907813
153	0.1359371823
154	0.1348027016
155	0.1337679283
156	0.1329420974
157	0.1320957093
158	0.1312649988
159	0.1303557119
160	0.1294089129
161	0.1283823873
162	0.1274571789
163	0.1265663791
164	0.1256276784
165	0.1248356015
166	0.1240628707
167	0.1232707554
168	0.1224455393
169	0.1216321826
170	0.1209873507
171	0.1202438607
172	0.1194094763
173	0.1187089632
174	0.117942443
175	0.1174535282
176	0.1167830289
177	0.1159392628
178	0.115120765
179	0.1143765397
180	0.1137428241
181	0.1130915627
182	0.1123851241
183	0.1117960751
184	0.1110452622
185	0.1101325246
186	0.1093735111
187	0.1087510429
188	0.1081853191
189	0.1074841155
190	0.1067988536
191	0.1061812598
192	0.1055189692
193	0.1047220138
194	0.1040160923
195	0.1033939049
196	0.1026961732
197	0.1020356975
198	0.1012417411
199	0.1006067107
200	0.1001290509
201	0.09954953562
202	0.09897719736
203	0.09855170452
204	0.09791065245
205	0.09744821646
206	0.09692205287
207	0.09638407171
208	0.09589618331
209	0.09539242795
210	0.09483742871
211	0.09430962982
212	0.09372694372
213	0.09320881052
214	0.09269446035
215	0.09211610457
216	0.09159167857
217	0.09090521252
218	0.09050900643
219	0.09006073729
220	0.08966415962
221	0.08911221055
222	0.08852051092
223	0.08808905297
224	0.08753020954
225	0.08717662684
226	0.08680413382
227	0.08624183377
228	0.08576012198
229	0.08545250317
230	0.08507391186
231	0.0845755309
232	0.08397365031
233	0.0836780532
234	0.08339276711
235	0.08298364665
236	0.08254428779
237	0.08218093186
238	0.08185424973
239	0.08147924516
240	0.08107886967
241	0.08067099825
242	0.08036340975
243	0.07994963238
244	0.07953977012
245	0.079052622
246	0.0786871612
247	0.07830927926
248	0.07792580649
249	0.07749553904
250	0.07714431357
251	0.07690545907
252	0.0765808645
253	0.07621281311
254	0.07582658954
255	0.07543206615
256	0.0750385843
257	0.07459164806
258	0.07420168934
259	0.07388366192
260	0.07347733359
261	0.07317515968
262	0.07282722379
263	0.07232129334
264	0.07195809989
265	0.07168203837
266	0.07133078892
267	0.0709717201
268	0.07072576814
269	0.07054683367
270	0.07026255491
271	0.06995359643
272	0.06976268927
273	0.06949244112
274	0.06922651415
275	0.0688703074
276	0.06853946634
277	0.06812819285
278	0.06782161243
279	0.06756788533
280	0.0673030879
281	0.06693488244
282	0.06667766341
283	0.06632697152
284	0.06600440914
285	0.06561752342
286	0.06531022817
287	0.06508363678
288	0.06479661977
289	0.06460619402
290	0.06429359097
291	0.06396803301
292	0.06373839373
293	0.06354456869
294	0.06330569628
295	0.06303216442
296	0.06284348514
297	0.06260212617
298	0.06237474224
299	0.06206677088
300	0.06171639784
301	0.06142838993
302	0.06115103896
303	0.06084911627
304	0.06053646858
305	0.06025699761
306	0.05997501035
307	0.05974407664
308	0.05947655738
309	0.05917398678
310	0.05897796607
311	0.05881943976
312	0.05855637838
313	0.0582652369
314	0.05795929302
315	0.05773153211
316	0.05753870117
317	0.05727883134
318	0.05703727581
319	0.05686089103
320	0.056626284
321	0.05642914604
322	0.05617038019
323	0.05591629758
324	0.05573350628
